book_id,neighbor_id,similarity
1,17,0.723
1,20,0.6873
1,2,0.5898
1,3,0.5611
1,12,0.5233
1,31,0.459
1,16,0.4586
1,21,0.45
1,4,0.4487
1,25,0.4483
2,18,0.6804
2,23,0.6728
2,24,0.6692
2,21,0.6574
2,27,0.6521
2,25,0.6509
2,1,0.5898
2,7,0.5255
2,3,0.5238
2,19,0.4933
3,49,0.6526
3,52,0.65
3,56,0.6242
3,1,0.5611
3,2,0.5238
3,73,0.4424
3,17,0.4206
3,20,0.4041
3,12,0.3984
3,21,0.39
4,5,0.5876
4,8,0.5518
4,28,0.4959
4,32,0.4959
4,2,0.493
4,14,0.4903
4,10,0.48
4,13,0.4735
4,11,0.4553
4,15,0.45
5,4,0.5876
5,8,0.5774
5,14,0.4929
5,13,0.4893
5,28,0.4862
5,32,0.4794
5,10,0.466
5,29,0.4495
5,2,0.4418
5,43,0.4205
6,12,0.4787
6,74,0.4716
6,88,0.4506
6,1,0.4262
6,69,0.4132
6,30,0.4018
6,17,0.3979
6,68,0.3898
6,20,0.3866
6,47,0.3786
7,19,0.6705
7,2,0.5255
7,13,0.4543
7,37,0.4539
7,155,0.4367
7,14,0.4307
7,161,0.43
7,28,0.4275
7,4,0.4256
7,54,0.417
8,5,0.5774
8,4,0.5518
8,14,0.5114
8,28,0.509
8,13,0.5007
8,32,0.4801
8,65,0.4283
8,55,0.4154
8,58,0.4032
8,2,0.3995
9,26,0.5484
9,145,0.4656
9,170,0.4418
9,2,0.4405
9,16,0.4378
9,1,0.4011
9,201,0.3983
9,11,0.374
9,4,0.3707
9,3,0.3642
10,43,0.5792
10,76,0.566
10,42,0.4805
10,4,0.48
10,171,0.4668
10,5,0.466
10,63,0.4628
10,29,0.4305
10,2,0.4292
10,230,0.4124
11,67,0.6073
11,33,0.4745
11,57,0.4681
11,46,0.4594
11,31,0.4568
11,22,0.4562
11,4,0.4553
11,45,0.4439
11,16,0.4349
11,38,0.4308
12,69,0.733
12,105,0.5928
12,1,0.5233
12,17,0.4834
12,6,0.4787
12,20,0.4755
12,51,0.4412
12,91,0.4105
12,3,0.3984
12,134,0.3757
13,14,0.6238
13,55,0.5483
13,8,0.5007
13,28,0.4994
13,5,0.4893
13,48,0.4871
13,4,0.4735
13,7,0.4543
13,65,0.4437
13,32,0.4401
14,13,0.6238
14,28,0.5325
14,8,0.5114
14,5,0.4929
14,4,0.4903
14,55,0.4736
14,32,0.4727
14,48,0.4335
14,7,0.4307
14,65,0.4183
15,4,0.45
15,42,0.439
15,5,0.3986
15,29,0.3966
15,10,0.392
15,2,0.3831
15,8,0.3795
15,28,0.3787
15,14,0.3728
15,32,0.3677
16,98,0.6131
16,140,0.5591
16,1,0.4586
16,31,0.4491
16,9,0.4378
16,11,0.4349
16,22,0.4187
16,46,0.4174
16,30,0.3975
16,33,0.3941
17,20,0.8955
17,1,0.723
17,25,0.4925
17,27,0.4891
17,24,0.4879
17,18,0.4856
17,21,0.4854
17,23,0.4842
17,12,0.4834
17,69,0.4574
18,24,0.912
18,23,0.906
18,27,0.8822
18,21,0.871
18,25,0.8599
18,2,0.6804
18,17,0.4856
18,20,0.4634
18,1,0.4443
18,26,0.4393
19,7,0.6705
19,155,0.5636
19,161,0.5524
19,2,0.4933
19,37,0.4374
