book_id,title,authors,average_rating,v,weighted
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,22806,4.262000278514927
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",4.44,21850,4.329236583133637
3,"Twilight (Twilight, #1)",Stephenie Meyer,3.57,16931,3.2603190980516366
4,To Kill a Mockingbird,Harper Lee,4.25,19088,4.305522282605971
5,The Great Gatsby,F. Scott Fitzgerald,3.89,16604,3.782022192638597
6,The Fault in Our Stars,John Green,4.26,11264,4.165008661036989
7,The Hobbit,J.R.R. Tolkien,4.25,15558,4.132356170013836
8,The Catcher in the Rye,J.D. Salinger,3.79,14472,3.7262010874147955
9,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,3.85,13451,3.6298631892273834
10,Pride and Prejudice,Jane Austen,4.24,13445,4.165426848033381
11,The Kite Runner,Khaled Hosseini,4.26,12698,4.148175012828848
12,"Divergent (Divergent, #1)",Veronica Roth,4.24,11780,4.0236427613977
13,1984,"George Orwell, Erich Fromm, Celâl Üster",4.14,14693,4.037384619489496
14,Animal Farm,George Orwell,3.87,14328,3.832761636062148
15,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",4.1,12101,4.0449065438279845
16,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",4.11,14382,3.9891029783863954
17,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,16549,4.11920477856106
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",4.53,15855,4.384168008813616
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.34,12530,4.241527704028548
20,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.03,15953,3.8577283582580466
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",4.46,15258,4.32718816912592
22,The Lovely Bones,Alice Sebold,3.77,11677,3.6571144237548014
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",4.37,15657,4.207718415692694
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",4.53,15523,4.394677535609286
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",4.61,15304,4.4825450447117925
26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.79,13072,3.6457005031147682
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",4.54,15081,4.405343808953933
